page_no,title,price,condition,photo_link
2,Mac Book Unibody White 13 inch Laptop with High Sierra MINT,$350.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/otQAAOSwzVdf0Un1/s-l225.jpg
2,"LOADED!! Apple Macbook Pro Retina 13"" Laptop + Solid State Drive! + MAC OS 2018",$695.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/yZEAAOSwHF1f0Gn6/s-l225.jpg
2,Apple MacBook Pro 13 Laptop/ 2.4Ghz / 16GB ram /New 1TB SSHD. Mac OS High Sierra,$599.98,Refurbished,https://i.ebayimg.com/thumbs/images/g/SGkAAOSwTZ1XlmM2/s-l225.jpg
2,"Apple MacBook Air 13.3"" Laptop i5 1.6GHz 8GB 128GB Mac OS (MVFM2LL/A)",$740.49,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/aVoAAOSwDPtf3Yms/s-l225.jpg
2,"Vintage, Rare Apple Macintosh Powerbook 5300 Laptop 10.4"" Color LCD Screen M2785",$199.99,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/EhUAAOSwzlxfrca6/s-l225.jpg
2,"Apple MacBook White 13"" 250GB HDD Intel 2.26GHz 8GB MAC OS SIERRA",$249.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/kH4AAOSwe65fZD-c/s-l225.jpg
2,Apple MacBook Pro A1286 Core 2 Duo 2.66GHz 8GB RAM 250GB HDD 15'' Mac OS Laptop,$200.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/2DEAAOSwnRpf6LY-/s-l225.jpg
2,"Apple MacBook Air 13.3"" 1.6 GHz Core i5 4GB RAM 128GB SSD MJVE2LL/A  Mac OS 2015",$445.99,Refurbished,https://i.ebayimg.com/thumbs/images/g/43wAAOSwqoheogSG/s-l225.jpg
2,"Apple MacBook Air 13.3"" Laptop i5 1.6GHz 8GB 256GB Mac OS (MMGG2LL/A)",$699.99,Open Box,https://i.ebayimg.com/thumbs/images/g/y3gAAOSwv7Zf8SDk/s-l225.jpg
2,"Mac book pro 12"" MNYM2GR/A 12","$1,230.00",Brand New,https://i.ebayimg.com/thumbs/images/g/xg0AAOSwJHhczJyj/s-l225.jpg
2,Apple MacBook Pro A1502 i7-4578U 3.0GHz CPU 16GB RAM 512GB SSD Mac OSX Mavericks,$599.99,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/3M4AAOSwvBVf63WD/s-l225.jpg
2,"Apple MacBook Air 11.6"" Laptop i5 1.6GHz 4GB 128GB Mac OS X (MJVM2LL/A)",$397.29,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/OFMAAOSwPile8kUm/s-l225.jpg
2,TESTED & WORKING Vintage Apple Macintosh PowerBook 165c with EXTRAS,$349.99,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/7tcAAOSwn91f9hxG/s-l225.jpg
2,MAC BOOK PRO 13.3 Inch(INTEL CORE I5)(2.5GhZ)(8GB Ram)(500GB)MID 2012 ,$255.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/TD0AAOSwWHdfSss-/s-l225.jpg
2,Apple Mac Mini 2010 Intel Core 2 Duo 2.4GHz 4GB 320GB HDD,$120.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/bUMAAOSw74JfMrFC/s-l225.jpg
2,"Apple MacBook White 13"" MC207LL/A 1TB 2.26GHz 6GB MAC OS High Sierra 2017 #22",$185.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/ex0AAOSwLQtf~KpA/s-l225.jpg
2,"Apple MacBook Retina 12"" FAST i5 LAPTOP A1534 512GB SSD HD Latest MAC OS+EXTRAS",$840.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/-9cAAOSwTMhfmU2S/s-l225.jpg
2,"Apple MacBook 13"" Laptop | UPGRADED 8GB RAM+1TB HD | MAC OS HIGH SIERRA 2017",$278.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/V1kAAOSwmAZe7W~k/s-l225.jpg
2,Apple MacBook Pro 13 Intel i7 3.1ghz - 16GB RAM 1TB SSD - LAPTOP MAC - OSX,$797.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/VEMAAOSwF69dfBLM/s-l225.jpg
2,"Apple Macbook 13"" Laptop / UPGRADED 8GB RAM 1TB HD / MAC OS CATALINA/ WARRANTY",$349.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/hMMAAOSwGFVefTUZ/s-l225.jpg
2,"New ListingApple MacBook Pro 12,1 Intel i5-5257U @2.70GHz 8GB RAM 256GB Mac OS El Capitan",$389.98,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/tVUAAOSwAFNgErfl/s-l225.jpg
2,"Apple MacBook Pro13"". New 256GB SSD.Intel i5 /New 16GB RAM. Mac OS Mojave ",$499.97,Refurbished,https://i.ebayimg.com/thumbs/images/g/lLMAAOSwNqJbZIo3/s-l225.jpg
2,MacBook AIR  13in Mid -2012 A1466 Intel i5-1.8GHz Mac OS Mojave 4GB 128SSD,$299.99,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/u5IAAOSwKwNf4Zr3/s-l225.jpg
2,"Apple MacBook Pro 13"" Retina FAST i5 A1708 LAPTOP SSD HD Latest MAC OS +EXTRAS🔥",$740.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/1wYAAOSwJX5fmWIA/s-l225.jpg
